Año,Mes,Departamento,Municipio,Pasajeros Regulares
2012,Febrero,Tolima,Ibagué," 6,148 "
2012,Febrero,Tolima,natagaima, -   
2012,Febrero,Valle del Cauca,Buenaventura, 277 
2012,Febrero,Valle del Cauca,Cali," 90,806 "
2012,Febrero,Vaupés,Caruru, 79 
2012,Febrero,Vaupés,Mitú, 914 
2012,Febrero,Vaupés,Pacoa, 6 
2012,Febrero,Vaupés,Taraira, 61 
2012,Febrero,Vichada,Cumaribo, 301 
2012,Febrero,Vichada,La Primavera, -   
2012,Febrero,Vichada,Puerto Carreño," 1,389 "
2012,Marzo,Amazonas,LA CHORRERA, 48 
2012,Marzo,Amazonas,La Pedrera, 158 
2012,Marzo,Amazonas,Leticia," 5,928 "
2012,Marzo,Amazonas,Tarapacá, 103 
2012,Marzo,Antioquia,Carepa," 7,551 "
2012,Marzo,Antioquia,Caucasia," 1,365 "
2012,Marzo,Antioquia,El Bagre, 432 
2012,Marzo,Antioquia,Medellín," 37,383 "
2012,Marzo,Antioquia,Remedios, 431 
2012,Marzo,Antioquia,Rionegro," 119,979 "
2012,Marzo,Arauca,Arauca," 4,555 "
2012,Marzo,Arauca,Tame, 180 
2012,Marzo,Atlántico,Barranquilla," 59,489 "
2012,Marzo,"Bogotá, D.C.","Bogotá, D.C."," 463,181 "
2012,Marzo,Bolívar,Calamar, -   
2012,Marzo,Bolívar,Cartagena," 76,707 "
2012,Marzo,Caldas,Manizales," 9,987 "
2012,Marzo,Caquetá,Florencia," 2,870 "
2012,Marzo,Caquetá,San Vicente del Caguán, 90 
2012,Marzo,Caquetá,Solano, -   
2012,Marzo,Casanare,Paz de Ariporo, 8 
2012,Marzo,Casanare,Villanueva, 36 
2012,Marzo,Casanare,Yopal," 14,217 "
2012,Marzo,Cauca,Guapi, 664 
2012,Marzo,Cauca,Popayán," 3,499 "
2012,Marzo,Cesar,San Martín, 11 
2012,Marzo,Cesar,Valledupar," 10,445 "
2012,Marzo,Chocó,Acandí, 231 
2012,Marzo,Chocó,Bahía Solano, 864 
2012,Marzo,Chocó,Condoto, 293 
2012,Marzo,Chocó,Nuquí, 378 
2012,Marzo,Chocó,Quibdó," 9,964 "
2012,Marzo,Córdoba,Montería," 22,302 "
2012,Marzo,Guainía,Barranco Minas, 39 
2012,Marzo,Guainía,Inírida," 1,061 "
2012,Marzo,Guaviare,Miraflores, 251 
2012,Marzo,Guaviare,San José del Guaviare, 877 
2012,Marzo,Huila,Neiva," 12,742 "
2012,Marzo,La Guajira,Maicao," 3,890 "
2012,Marzo,La Guajira,Riohacha," 3,443 "
2012,Marzo,La Guajira,Uribia," 1,131 "
2012,Marzo,Magdalena,Santa Marta," 37,704 "
2012,Marzo,Meta,La Macarena, 48 
2012,Marzo,Meta,Puerto Gaitán, -   
2012,Marzo,Meta,Uribe, 29 
2012,Marzo,Meta,Villavicencio," 3,151 "
2012,Marzo,Nariño,Ipiales, 289 
2012,Marzo,Nariño,Pasto," 9,145 "
2012,Marzo,Nariño,San Andres de Tumaco," 2,502 "
2012,Marzo,Norte de Santander,Cúcuta," 31,360 "
2012,Marzo,Putumayo,Puerto Asís," 1,698 "
2012,Marzo,Putumayo,Puerto Leguízamo, 374 
2012,Marzo,Putumayo,Villagarzón, 484 
2012,Marzo,Quindío,Armenia," 11,720 "
2012,Marzo,Risaralda,Pereira," 28,516 "
2012,Marzo,San Andrés y Providencia,Providencia, 814 
2012,Marzo,San Andrés y Providencia,San Andrés," 30,486 "
2012,Marzo,Santander,Barrancabermeja," 7,910 "
2012,Marzo,Santander,Bucaramanga," 48,272 "
2012,Marzo,Sin Especificar,Sin Especificar, -   
2012,Marzo,Sucre,Corozal," 1,357 "
2012,Marzo,Sucre,Coveñas, -   
2012,Marzo,Sucre,Santiago de Tolú, 219 
2012,Marzo,Tolima,Ibagué," 6,791 "
2012,Marzo,Tolima,natagaima, -   
2012,Marzo,Valle del Cauca,Buenaventura, 336 
2012,Marzo,Valle del Cauca,Cali," 104,216 "
2012,Marzo,Vaupés,Caruru, 57 
2012,Marzo,Vaupés,Mitú, 934 
2012,Marzo,Vaupés,Pacoa, 30 
2012,Marzo,Vaupés,Taraira, 80 
2012,Marzo,Vichada,Cumaribo, 450 
2012,Marzo,Vichada,La Primavera, -   
2012,Marzo,Vichada,Puerto Carreño," 1,407 "
2012,Abril,Amazonas,LA CHORRERA, 60 
2012,Abril,Amazonas,La Pedrera, 123 
2012,Abril,Amazonas,Leticia," 5,727 "
2012,Abril,Amazonas,Tarapacá, 106 
2012,Abril,Antioquia,Carepa," 6,386 "
2012,Abril,Antioquia,Caucasia," 1,158 "
2012,Abril,Antioquia,El Bagre, 397 
2012,Abril,Antioquia,Medellín," 33,082 "
2012,Abril,Antioquia,Remedios, 316 
2012,Abril,Antioquia,Rionegro," 107,279 "
2012,Abril,Arauca,Arauca," 4,214 "
2012,Abril,Arauca,Cravo Norte, -   
2012,Abril,Arauca,Tame, 160 
2012,Abril,Atlántico,Barranquilla," 56,511 "
2012,Abril,"Bogotá, D.C.","Bogotá, D.C."," 431,918 "
2012,Abril,Bolívar,Cartagena," 70,550 "
2012,Abril,Caldas,Manizales," 7,513 "
2012,Abril,Caquetá,Florencia," 2,543 "
2012,Abril,Caquetá,San Vicente del Caguán, 49 
2012,Abril,Caquetá,Solano, -   
2012,Abril,Casanare,Paz de Ariporo, 10 
2012,Abril,Casanare,Yopal," 11,975 "
2012,Abril,Cauca,Guapi, 569 
2012,Abril,Cauca,Popayán," 3,167 "
2012,Abril,Cesar,San Martín, 36 
2012,Abril,Cesar,Valledupar," 11,780 "
2012,Abril,Chocó,Acandí, 329 
2012,Abril,Chocó,Bahía Solano, 948 
2012,Abril,Chocó,Condoto, 202 
2012,Abril,Chocó,Nuquí, 385 
2012,Abril,Chocó,Quibdó," 9,915 "
2012,Abril,Córdoba,Montería," 19,537 "
2012,Abril,Guainía,Barranco Minas, 8 
2012,Abril,Guainía,Inírida, 917 
2012,Abril,Guaviare,Miraflores, 113 
2012,Abril,Guaviare,San José del Guaviare, 692 
2012,Abril,Huila,Neiva," 10,829 "
2012,Abril,La Guajira,Maicao," 3,452 "
2012,Abril,La Guajira,Riohacha," 3,089 "
2012,Abril,La Guajira,Uribia," 1,109 "
2012,Abril,Magdalena,Santa Marta," 34,746 "
2012,Abril,Meta,La Macarena, 41 
2012,Abril,Meta,Villavicencio," 2,474 "
2012,Abril,Nariño,Ipiales, 234 
2012,Abril,Nariño,Pasto," 8,104 "
2012,Abril,Nariño,San Andres de Tumaco," 2,485 "
2012,Abril,Norte de Santander,Cúcuta," 31,539 "
2012,Abril,Putumayo,Puerto Asís," 1,566 "
2012,Abril,Putumayo,Puerto Leguízamo, 477 
2012,Abril,Putumayo,Villagarzón, 486 
2012,Abril,Quindío,Armenia," 9,923 "
2012,Abril,Risaralda,Pereira," 25,960 "
2012,Abril,San Andrés y Providencia,Providencia, 748 
2012,Abril,San Andrés y Providencia,San Andrés," 28,070 "
2012,Abril,Santander,Barrancabermeja," 7,071 "
2012,Abril,Santander,Bucaramanga," 43,741 "
2012,Abril,Sin Especificar,Sin Especificar, 18 
2012,Abril,Sucre,Corozal," 1,226 "
2012,Abril,Sucre,Coveñas, -   
2012,Abril,Sucre,Santiago de Tolú, 209 
2012,Abril,Tolima,Ibagué," 5,236 "
2012,Abril,Tolima,Melgar, -   
2012,Abril,Tolima,natagaima, -   
2012,Abril,Valle del Cauca,Buenaventura, 216 
2012,Abril,Valle del Cauca,Cali," 93,842 "
2012,Abril,Vaupés,Caruru, 81 
2012,Abril,Vaupés,Mitú, 875 
2012,Abril,Vaupés,Pacoa, 5 
2012,Abril,Vaupés,Taraira, 6 
2012,Abril,Vichada,Cumaribo, 429 
2012,Abril,Vichada,La Primavera, -   
2012,Abril,Vichada,Puerto Carreño," 1,141 "
2012,Mayo,Amazonas,LA CHORRERA, 51 
2012,Mayo,Amazonas,La Pedrera, 104 
2012,Mayo,Amazonas,Leticia," 5,243 "
2012,Mayo,Amazonas,Tarapacá, 93 
2012,Mayo,Antioquia,Carepa," 7,078 "
2012,Mayo,Antioquia,Caucasia," 1,276 "
2012,Mayo,Antioquia,El Bagre, 448 
2012,Mayo,Antioquia,Medellín," 35,600 "
2012,Mayo,Antioquia,Remedios, 380 
2012,Mayo,Antioquia,Rionegro," 124,562 "
2012,Mayo,Arauca,Arauca," 4,343 "
2012,Mayo,Arauca,Cravo Norte, -   
2012,Mayo,Arauca,Tame, 137 
2012,Mayo,Atlántico,Barranquilla," 58,687 "
2012,Mayo,"Bogotá, D.C.","Bogotá, D.C."," 465,342 "
2012,Mayo,Bolívar,Cartagena," 74,002 "
2012,Mayo,Caldas,Manizales," 7,734 "
2012,Mayo,Caquetá,Florencia," 2,781 "
2012,Mayo,Caquetá,San Vicente del Caguán, 57 
2012,Mayo,Caquetá,Solano, -   
2012,Mayo,Casanare,Paz de Ariporo, 16 
2012,Mayo,Casanare,Yopal," 13,461 "
2012,Mayo,Cauca,Guapi, 642 
2012,Mayo,Cauca,Popayán," 3,458 "
2012,Mayo,Cesar,Valledupar," 9,718 "
2012,Mayo,Chocó,Acandí, 319 
2012,Mayo,Chocó,Bahía Solano, 885 
2012,Mayo,Chocó,Condoto, 219 
2012,Mayo,Chocó,Nuquí, 366 
2012,Mayo,Chocó,Quibdó," 10,162 "
2012,Mayo,Córdoba,Montería," 21,087 "
2012,Mayo,Guainía,Barranco Minas, 9 
2012,Mayo,Guainía,Inírida, 893 
2012,Mayo,Guaviare,Miraflores, 75 
2012,Mayo,Guaviare,San José del Guaviare, 633 
2012,Mayo,Huila,Neiva," 12,078 "
2012,Mayo,La Guajira,Maicao," 2,951 "
2012,Mayo,La Guajira,Riohacha," 3,410 "
2012,Mayo,La Guajira,Uribia," 1,064 "
2012,Mayo,Magdalena,Santa Marta," 35,375 "
2012,Mayo,Meta,La Macarena, 59 
2012,Mayo,Meta,Villavicencio," 2,711 "
2012,Mayo,Nariño,Ipiales, 272 
2012,Mayo,Nariño,Pasto," 9,017 "
2012,Mayo,Nariño,San Andres de Tumaco," 2,384 "
2012,Mayo,Norte de Santander,Cúcuta," 31,617 "
2012,Mayo,Putumayo,Puerto Asís," 1,706 "
2012,Mayo,Putumayo,Puerto Leguízamo, 391 
2012,Mayo,Putumayo,Villagarzón, 605 
2012,Mayo,Quindío,Armenia," 11,264 "
2012,Mayo,Risaralda,Pereira," 29,431 "
2012,Mayo,San Andrés y Providencia,Providencia, 669 
2012,Mayo,San Andrés y Providencia,San Andrés," 29,525 "
2012,Mayo,Santander,Barrancabermeja," 8,081 "
2012,Mayo,Santander,Bucaramanga," 48,523 "
2012,Mayo,Sin Especificar,Sin Especificar, -   
2012,Mayo,Sucre,Corozal," 1,243 "
2012,Mayo,Sucre,Coveñas, -   
2012,Mayo,Sucre,Santiago de Tolú, 164 
2012,Mayo,Tolima,Ibagué," 6,335 "
2012,Mayo,Tolima,natagaima, -   
2012,Mayo,Valle del Cauca,Buenaventura, 331 
2012,Mayo,Valle del Cauca,Cali," 101,121 "
2012,Mayo,Vaupés,Caruru, 43 
2012,Mayo,Vaupés,Mitú, 916 
2012,Mayo,Vaupés,Pacoa, 6 
2012,Mayo,Vaupés,Taraira, 9 
2012,Mayo,Vichada,Cumaribo, 346 
2012,Mayo,Vichada,La Primavera, -   
2012,Mayo,Vichada,Puerto Carreño," 1,140 "
2012,Junio,Amazonas,LA CHORRERA, 83 
2012,Junio,Amazonas,La Pedrera, 101 
2012,Junio,Amazonas,Leticia," 6,705 "
2012,Junio,Amazonas,Tarapacá, 93 
2012,Junio,Antioquia,Carepa," 7,177 "
2012,Junio,Antioquia,Caucasia," 1,220 "
2012,Junio,Antioquia,El Bagre, 449 
2012,Junio,Antioquia,Medellín," 37,346 "
2012,Junio,Antioquia,Remedios, 393 
2012,Junio,Antioquia,Rionegro," 152,782 "
2012,Junio,Arauca,Arauca," 4,476 "
2012,Junio,Arauca,Tame, 294 
2012,Junio,Atlántico,Barranquilla," 71,568 "
2012,Junio,"Bogotá, D.C.","Bogotá, D.C."," 484,235 "
2012,Junio,Bolívar,Cartagena," 103,637 "
2012,Junio,Caldas,Manizales," 2,825 "
2012,Junio,Caquetá,Florencia," 2,512 "
2012,Junio,Caquetá,San Vicente del Caguán, 59 
2012,Junio,Caquetá,Solano, -   
2012,Junio,Casanare,Orocué, -   
2012,Junio,Casanare,Paz de Ariporo, 86 
2012,Junio,Casanare,Yopal," 13,431 "
2012,Junio,Cauca,Guapi, 602 
2012,Junio,Cauca,Popayán," 3,334 "
2012,Junio,Cesar,San Martín, -   
2012,Junio,Cesar,Valledupar," 12,143 "
2012,Junio,Chocó,Acandí, 503 
2012,Junio,Chocó,Bahía Solano," 1,139 "
2012,Junio,Chocó,Condoto, 219 
2012,Junio,Chocó,Nuquí, 433 
2012,Junio,Chocó,Quibdó," 11,433 "
2012,Junio,Córdoba,Montería," 23,056 "
2012,Junio,Guainía,Barranco Minas, 8 
2012,Junio,Guainía,Inírida," 1,003 "
2012,Junio,Guaviare,Miraflores, 181 
2012,Junio,Guaviare,San José del Guaviare," 1,019 "
2012,Junio,Huila,Neiva," 12,095 "
2012,Junio,La Guajira,Maicao," 3,275 "
2012,Junio,La Guajira,Riohacha," 3,743 "
2012,Junio,La Guajira,Uribia," 1,175 "
2012,Junio,Magdalena,Santa Marta," 42,784 "
2012,Junio,Meta,La Macarena, 105 
2012,Junio,Meta,Uribe, -   
2012,Junio,Meta,Villavicencio," 2,857 "
2012,Junio,Nariño,Ipiales, 260 
2012,Junio,Nariño,Pasto," 9,652 "
2012,Junio,Nariño,San Andres de Tumaco," 2,467 "
2012,Junio,Norte de Santander,Cúcuta," 36,568 "
2012,Junio,Putumayo,Puerto Asís," 1,765 "
2012,Junio,Putumayo,Puerto Leguízamo, 558 
2012,Junio,Putumayo,Villagarzón, 561 
2012,Junio,Quindío,Armenia," 11,181 "
2012,Junio,Risaralda,Pereira," 37,207 "
2012,Junio,San Andrés y Providencia,Providencia, 752 
2012,Junio,San Andrés y Providencia,San Andrés," 37,559 "
2012,Junio,Santander,Barrancabermeja," 8,180 "
2012,Junio,Santander,Bucaramanga," 53,265 "
2012,Junio,Sin Especificar,Sin Especificar, -   
2012,Junio,Sucre,Corozal," 1,535 "
2012,Junio,Sucre,Santiago de Tolú, 322 
2012,Junio,Tolima,Ibagué," 6,076 "
2012,Junio,Tolima,natagaima, -   
2012,Junio,Valle del Cauca,Buenaventura, 351 
2012,Junio,Valle del Cauca,Cali," 113,287 "
2012,Junio,Vaupés,Caruru, 71 
2012,Junio,Vaupés,Mitú, 837 
2012,Junio,Vaupés,Pacoa, -   
2012,Junio,Vaupés,Taraira, 47 
2012,Junio,Vichada,Cumaribo, 363 
2012,Junio,Vichada,La Primavera, -   
2012,Junio,Vichada,Puerto Carreño," 1,311 "
2012,Julio,Amazonas,LA CHORRERA, 73 
2012,Julio,Amazonas,La Pedrera, 131 
2012,Julio,Amazonas,Leticia," 7,833 "
2012,Julio,Amazonas,Tarapacá, 121 
2012,Julio,Antioquia,Carepa," 7,260 "
2012,Julio,Antioquia,Caucasia," 1,217 "
2012,Julio,Antioquia,El Bagre, 436 
2012,Julio,Antioquia,Medellín," 38,187 "
2012,Julio,Antioquia,Remedios, 388 
2012,Julio,Antioquia,Rionegro," 168,608 "
2012,Julio,Arauca,Arauca," 4,595 "
2012,Julio,Arauca,Tame, 225 
2012,Julio,Atlántico,Barranquilla," 77,517 "
2012,Julio,"Bogotá, D.C.","Bogotá, D.C."," 547,217 "
2012,Julio,Bolívar,Cartagena," 116,848 "
2012,Julio,Caldas,Manizales," 8,693 "
2012,Julio,Caquetá,Florencia," 2,934 "
2012,Julio,Caquetá,San Vicente del Caguán, 59 
2012,Julio,Caquetá,Solano, -   
2012,Julio,Casanare,Paz de Ariporo, 39 
